Posisi,Perusahaan,Lokasi,URL,Deskripsi
Investment Wealth Manager,PT Asuransi Jiwa Manulife Indonesia (Dept PB Danamon),Surabaya,https://id.jobstreet.com/id/job/82121061?type=standard&ref=search-standalone,"3-5 sentence summary about the role considering these questions: what is the opportunity? How is this role contributing to our mission? What will they get from this opportunity?Position Responsibilities:XxXxXxXxXxRequired Qualifications:[Years of experience][Quantified years of experience with tools/software/etc.][Education if required][Licenses if required]Preferred Qualifications:[Xx][Xx][Xx][Xx][Xx]When you join our team:We’ll empower you to learn and grow the career you want.We’ll recognize and support you in a flexible environment where well-being and inclusion are more than just words.As part of our global team, we’ll support you in shaping the future you want to see.About Manulife and John HancockManulife Financial Corporation is a leading international financial services provider, helping people make their decisions easier and lives better. To learn more about us, visit https://www.manulife.com/en/about/our-story.html.Manulife is an Equal Opportunity EmployerAt Manulife/John Hancock, we embrace our diversity. We strive to attract, develop and retain a workforce that is as diverse as the customers we serve and to foster an inclusive work environment that embraces the strength of cultures and individuals. We are committed to fair recruitment, retention, advancement and compensation, and we administer all of our practices and programs without discrimination on the basis of race, ancestry, place of origin, colour, ethnic origin, citizenship, religion or religious beliefs, creed, sex (including pregnancy and pregnancy-related conditions), sexual orientation, genetic characteristics, veteran status, gender identity, gender expression, age, marital status, family status, disability, or any other ground protected by applicable law.It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will work with applicants who request a reasonable accommodation during the application process. All information shared during the accommodation request process will be stored and used in a manner that is consistent with applicable laws and Manulife/John Hancock policies. To request a reasonable accommodation in the application process, contact[email protected].Working ArrangementHybrid"
ERP Data Migration (D365FO),Siloam Hospitals Group (Tbk),Karawaci,https://id.jobstreet.com/id/job/81752873?type=standard&ref=search-standalone,"Understanding the Blueprint and functional system documents that have been created.Developing a detailed migration plan and setting the timeline and data migration process.Analyzing and preparing data to be migrated from the old system to the new ERP system.Developing and testing data migration scripts to ensure a successful transition.Executing and monitoring the migration process to ensure data is successfully transferred into the ERP system accurately and without disruption.Preparing and maintaining data migration documentation.Performing data verification and validation after migration to ensure there are no errors or data loss.Collaborating with the ERP implementation team to ensure proper data migration.Willing to be assigned to out-of-town tasks.Job Requirements:Possessing certification in Database and/or Excel skills is highly preferred.Minimum of 2 (two) years of work experience. At least 1 (one) year of involvement in implementing one of the major ERP systems: Microsoft, SAP, or Oracle. Experience in the Healthcare industry is a plus.Experience working in an IT consulting or management consulting firm is preferred.Well understanding of how ERP systems work. Knowledge of data cleansing and data migration processes. Knowledge of master data management."
Credit Administration Supervisor,PT Radana Bhaskara Finance Tbk,Jakarta Raya,https://id.jobstreet.com/id/job/82103589?type=standard&ref=search-standalone,"Descriptions:Melakukan pengecekan rekam jejak calon debitur (pre-checking) dan mengkoordinasikan dengan tim marketing sesuai dengan ketentuan yang berlakuMelakukan monitoring terhadap status approval komite kredit guna memastikan proses review dilakukan sesuai dengan SLA yang ditetapkanMelakukan monitoring terhadap ketersediaan limit dari setiap calon-calon debitur dan menyampaikan kepada pihak terkaitMelakukan pengecekan dokumen pra pencairan (pre-disburse covenant) dengan memastikan setiap dokumen lengkap dan akuratMelakukan pelaporan atas penyaluran kredit yang dilakukan oleh perusahaan kepada pihak OJK secara akurat dan tepat waktuMelakukan penugasan dari atasan dalam seluruh kegiatan langsung atau tidak langsung dengan fungsinya baik yang berhubungan dengan pihak internal maupun eksternal sesuai dengan kebutuhan perusahaanRequirements :Pendidikan minimal S1 semua jurusanMampu bekerja sama dalam timMemiliki kemampuan yang baik dalam menggunakan Ms. OfficeTeliti dan detailLokasi kerja :  Cilandak, Jakarta Selatan"
IT Cyber Security Analyst - Banking Industry,PT. SIGMA GLOBAL TEKNOLOGI (SIGMATECH),Jakarta Raya,https://id.jobstreet.com/id/job/82102935?type=standard&ref=search-standalone,Requirement:Min 5 tahun pengalaman sebagai Project Manager / Business Analyst / System Analyst implementasi IT ProjectMin 1 tahun pengalaman terlibat dalam pekerjaan terkait Information Security / CyberMahir dalam menganalisa data dan business processMenguasai Ms. Excel dan mahir menggunakan formula dan pivotMenguasai Ms. Visio dan mahir membuat flow chartMenguasi Ms. Power Point dan mahir membuat presentasiMenguasi Ms. Word dan mahir membuat dokumen SOPExtra Qualification (higher chance selected):Menguasai SQL / queryMenguasi excel macroMenguasi scripting menggunakan RegexPengalaman dalam implementasi DLP ProjectJobdesc:Mendefinisikan functional requirement untuk implementasi Data Loss Prevention (DLP)Mendefinisikan klasifikasi dan labeling terhadap confidential dataMenyusun Business Requirement Document (BRD)Menyusun User Acceptance Test (UAT)Menyusun business process / SOP untuk implementasi DLPMengadakan user training
Digital System Specialist,CV Bali Bisa Mandiri (Livingstone Cafe & Bakery),Kuta,https://id.jobstreet.com/id/job/82100164?type=standard&ref=search-standalone,"Job Decription :Melakukan Digital Research untuk mencari sistem aplikasi terbaru untuk menunjang Operasional Perusahaan menjadi lebih digitalMelakukan Training penggunaan sistem kepada tim operasional, atas sistem yang baru saja diterapkan di unit bisnis bersangkutanMelakukan administrasi data digital account dari setiap Digital system unit bisnis yang dikelola, sekaligus memastikan keamanan akun dan mengupdate username password secara berkalaMengawal setiap hal yang berkaitan dengan digital system agar berfungsi normal dan melakukan troubleshoot apabila ada malfungsi sistemJob Requirements :1. Background pendidikan minimal S1 di bidang IT / SI atau bidang lainya yang berkaitan2. Memiliki pengalaman kerja minimal 2 tahun di bidang Digital sistem atau bidang lainnya yang sejenis3. Menguasai hal-hal yang berkaitan dengan digital sistem / aplikasi penunjang operasional4. Memiliki koneksi dengan pihak ke 3 yang bisa menjadi Relasi dalam menerapkan Digital sistem terbaru5. Memiliki kemampuan komunikasi, proaktif dan kemampuan analisa yang baik6. Bisa bergabung secepatnya, Penempatan : Kuta - Bali"
Sales Performance & Commission,PT Link Net,Kecamatan Tangerang,https://id.jobstreet.com/id/job/82105161?type=standard&ref=search-standalone,"Support the development and implementation of sales performance metrics.Monitor and analyze sales performance data to provide actionable insights to improve sales effectiveness.Design and manage commission structures for sales teams, ensuring alignment with business objectives.Collaborate with the sales team to set performance goals and KPIs.Conduct regular performance reviews to evaluate sales achievement against set targets.Implement initiatives to enhance sales productivity and motivation through effective commission plans.Work closely with finance to ensure accurate commission calculations and timely payments.Provide training and support to sales personnel regarding commission structures and performance expectations.RequirementsBachelor's degree in Business, Finance, or related field.Minimum of 3 years of experience in sales performance management or commission analysis, preferably in the telecommunications or ISP industry.Strong analytical skills with proficiency in data analysis and reporting tools.Experience in designing and managing sales compensation plans.Excellent communication skills, with the ability to convey complex information clearly.Detail-oriented with a focus on accuracy in commission calculations.Ability to work collaboratively in a team environment.Location:Karawaci,Tangerang."
User Retention Performance Associate,ISMAYA GROUP,Jakarta Selatan,https://id.jobstreet.com/id/job/82098820?type=standard&ref=search-standalone,"Plan, execute, and monitor campaigns to ensure user retention, drive repeat transactions, and foster member loyaltySupport the execution and optimization of retention marketing campaigns (push notifications, email, in-app messages,etc.)Analyze user data and campaign performance to identify trends and insights for improving engagementWork closely with cross-functional teams (product, data, operations) to enhance the customer experienceContinuously experiment with new ideas to improve user retention and loyaltyRegular reporting to track achiement towards goals progress"
"Senior Associate, Data Management",PT SC Johnson And Son Indonesia,Jakarta Raya,https://id.jobstreet.com/id/job/82098581?type=standard&ref=search-standalone,"Job Title:  Senior Associate, Data ManagementLocation:Jakarta, IndonesiaAs a Senior Associate, Data Management you will be responsible for build and maintain strong collaborative relationships with all key stakeholders: customer’s Supply Chain / sales team / logistic / Customer fulfillment & Finance and work with customer to manage order to shipment.Essential Duties and Responsibilities:Build and maintain strong collaborative relationships with all key stakeholders: Customer’s Supply Chain / Sales team / logistics & Customer fulfillment to ensure smooth communication and execution on delivering customer order (distributor & accounts).Manage Stock Planning area to conduct proper planning and dispatching to Customers.Manage and Analyze shipment vs target (Service Level, shipment risk ie: credit hold, less volume, Out of Stock by segment, area and customer).Helping in aggregating report from areas : Bottom up forecast, stock opname report, Ad Hoc reportProvide report of daily and monthly purchase order from customers.Liaise with Customer marketing and Demand Planner for Allocation NPD and Promotional SKU (Monthly).Managing customer master data in SAP and Provide CPFR forecast template.Responsible for chasing readiness 1st Primary Sales of NPD or Restage SKU (pricing, Active status) to Finance, Customer Service and related function.Required Skills / Experience / Competencies:Bachelor's in technical/business or related fieldsMinimum 3-4 years of experience background from key account/logistic/supply chainAbility to demonstrate good communication skills and excellect working with cross-functional teamFamiliar with SAP, Microsoft Excel and able to work on projects with complex dependenciesJob Requirements:Full timeNo relocation eligibilityBenefits & Culture:SC Johnson is committed to providing a Great Place to Work for all its employees. Along with a competitive base salary, here are just some of the benefits you receive when joining the SC Johnson Family -Ongoing training and developmentEmployee Committee that put on regular events, lunches, parties, fun daysFamily-owned company, with a family feelBe a member of a company championing a better world through sustainability and environmental protection measuresInclusion & DiversityWe’re a global business, with people from every culture, ethnicity, race, religion, gender identity, sexual orientation, age and ability. We recognize the breadth of human experience, and we work to celebrate it. It is our goal to build a diverse, inclusive and supportive work environment where all people can thrive.We’re committed to ongoing efforts that help us attract, hire, and retain diverse talent who want to build a positive, inclusive environment. Read more about our ongoing initiatives at https://jobs.scjohnson.com/inclusion.Not ready to apply?  Sign up for Job Alerts."
Data Analyst,Indofood Group,Kebayoran Lama,https://id.jobstreet.com/id/job/82096022?type=standard&ref=search-standalone,"Persyaratan PekerjaanMinimum S1 Matematika, Ekonomi, Manajemen Informasi, atau StatistikaBerpengalaman sebagai Data Analyst atau Business Data Analyst selama 1 tahun atau Fresh graduateMemiliki kemampuan mengenai data models, database design development, data mining, dan segmentation techniquesMemiliki pengetahuan dan pengalaman dalam reporting packages (Business Objects etc), databases (SQL etc), ExcelMemiliki pengetahuan statistik dan pengalaman dalam penggunaan statistical packages untuk analyzing datasets (Excel, SPSS, SAS etc)Memiliki kemampuan analitik untuk collect, organize, analyze, and disseminate ukuran informasi yang besar dengan memperhatikan detail dan akurasiMemiliki kemampuan dalam report writing and presenting findingsDeskripsi PekerjaanMengintepretasikan data, menganalisis hasil menggunakan teknik statistika dan memberikan reports menggunakan Tableau, Excel atau Reporting Tools lainMengembangkan dan mengimplementasikan database, data collection system, data analytics, dan strategi lain untuk mengoptimalkan estatistical efficiency and qualityMengidentifikasi, menganalisis, mengintepretasikan trends atau pola dalam data sets yang complexFilter dan ""clean"" data dengan mereview computer reports, printouts, dan performance indicators untuk menemukan dan memperbaiki code problemsBerkolaborasi dengan manajemen dan operation untuk memprioritaskan kebutuhan bisnis dan informasi"
Application Consultant Assc.,Mitra Integrasi Informatika,Jakarta Raya,https://id.jobstreet.com/id/job/82095836?type=standard&ref=search-standalone,"Career Opportunities: Application Consultant Assc. (38464)Requisition ID38464- Posted02/14/2025-Administration-DKI Jakarta-Staff (Mid - Senior)- Country (1) - Region (1)Apply
 
 
 
 
 
 
 
 
 
 
 
 
 
 Save Job
 
 
 
 
 
 
 
 
 Email Job to Friend
 
 
 
 
 
 
 
 
 Return to ListJob DescriptionsDengan bimbingan minimal dari atasan langsung atau senior, bertanggungjawab dalam memberikan solusi bagi pelanggan pada seluruh fase implementasi aplikasi. Memahami business process pelanggan di berbagai industri dan memberikan pemecahan masalah aplikasi. Bekerja sama dengan prinsipal dan tim internal dalam rangka menunjang tercapainya target implementasi & pelatihan yang sudah ditargetkan oleh perusahaan.Detail Job Desc :Ikut serta mengevaluasi, mengidentifikasikan, dan memberikan rekomendasi mengenai kebutuhan akan aplikasi bagi pelanggan sehingga dapat memberikan solusi bisnis yang tepat. Kemudian menuliskan hasil identifikasi dan evaluasi itu ke dalam Scope of Work (SOW).Melakukan serta memonitor proses implementasi sesuaidengan assignment yang diberikan oleh Project Manager. Menjadi instruktur dalam memberikan pelatihan bagi pelanggan dalam mempelajari, memahami produk dan cara mengoperasikan aplikasi.Mengadakan kontak langsung dengan pelanggan untuk memberikan pemecahan terhadap permasalahan yang muncul setelah implementasi berjalan, sekaligus memberikan saran pengembangan kebutuhan baru.Menjadi instruktur/pembimbing bagi pelanggan untuk mempelajari, memahami produk dan cara mengoperasikan aplikasi pada pelatihan aplikasi lanjutanMemelihara dan mengembangkan application knowledge teknologi prinsipalJob RequirementsPendidikan Sarjana S-1 sesuai bidang aplikasi (misalnya Accounting, Psychology, Statistical, Business Administration, Teknik Industri dll.)Pengalaman kerja Minimal 2 tahun menangani implementasi aplikasiMemiliki pengetahuan mengenai business process aplikasiMemahami dan menguasai aplikasi yang menjadi tanggung jawab.Memahami dan menguasi Project ManagementMenguasai bahasa Inggris secara lisan maupun tulisanMampu melakukan presentasi dengan baikCompetenciesTEAM ORIENTATIONIMPACT & INFLUENCERESPONSIVE TO CUSTOMERS/ OTHER PARTIESDRIVECOMMUNICATIONANALYTICAL THINKINGSELF CONTROL & CONFIDENCEApply
 
 
 
 
 
 
 
 
 
 
 
 
 
 Save Job
 
 
 
 
 
 
 
 
 Email Job to Friend
 
 
 
 
 
 
 
 
 Return to List
 
 The job has been sent toJob title:"
Technical Consultant Analyst,"PT. Metrodata Electronics, Tbk",Jakarta Raya,https://id.jobstreet.com/id/job/82095791?type=standard&ref=search-standalone,"Sarjana S-1, jurusan terkait Teknologi InformasiLulusan baru - 2 tahun pengalaman kerjaMemiliki pengetahuan dasar pada area solusi dan konsultasi ITPengetahuan kebutuhan pelanggan berdasarkan trend pasar / industri."
Application Consultant Assc.,"PT. Metrodata Electronics, Tbk",Jakarta Raya,https://id.jobstreet.com/id/job/82096243?type=standard&ref=search-standalone,"Dengan bimbingan minimal dari atasan langsung atau senior, bertanggungjawab dalam memberikan solusi bagi pelanggan pada seluruh fase implementasi aplikasi. Memahami business process pelanggan di berbagai industri dan memberikan pemecahan masalah aplikasi. Bekerja sama dengan prinsipal dan tim internal dalam rangka menunjang tercapainya target implementasi & pelatihan yang sudah ditargetkan oleh perusahaan.Detail Job Desc :Ikut serta mengevaluasi, mengidentifikasikan, dan memberikan rekomendasi mengenai kebutuhan akan aplikasi bagi pelanggan sehingga dapat memberikan solusi bisnis yang tepat. Kemudian menuliskan hasil identifikasi dan evaluasi itu ke dalam Scope of Work (SOW).Melakukan serta memonitor proses implementasi sesuaidengan assignment yang diberikan oleh Project Manager. Menjadi instruktur dalam memberikan pelatihan bagi pelanggan dalam mempelajari, memahami produk dan cara mengoperasikan aplikasi.Mengadakan kontak langsung dengan pelanggan untuk memberikan pemecahan terhadap permasalahan yang muncul setelah implementasi berjalan, sekaligus memberikan saran pengembangan kebutuhan baru.Menjadi instruktur/pembimbing bagi pelanggan untuk mempelajari, memahami produk dan cara mengoperasikan aplikasi pada pelatihan aplikasi lanjutanMemelihara dan mengembangkan application knowledge teknologi prinsipal"
Technical Consultant Analyst,Mitra Integrasi Informatika,Jakarta Raya,https://id.jobstreet.com/id/job/82096201?type=standard&ref=search-standalone,"Career Opportunities: Technical Consultant Analyst (38475)Requisition ID38475- Posted02/14/2025-Engineering-DKI Jakarta-Entry-Level- Country (1) - Region (1)Apply
 
 
 
 
 
 
 
 
 
 
 
 
 
 Save Job
 
 
 
 
 
 
 
 
 Email Job to Friend
 
 
 
 
 
 
 
 
 Return to ListJob RequirementsSarjana S-1, jurusan terkait Teknologi InformasiLulusan baru - 2 tahun pengalaman kerjaMemiliki pengetahuan dasar pada area solusi dan konsultasi ITPengetahuan kebutuhan pelanggan berdasarkan trend pasar / industri.Apply
 
 
 
 
 
 
 
 
 
 
 
 
 
 Save Job
 
 
 
 
 
 
 
 
 Email Job to Friend
 
 
 
 
 
 
 
 
 Return to List
 
 The job has been sent toJob title:"
Pan-European Seal Young Professionals Programme in Science and Engineering,European Patent Organisation,Jawa Timur,https://id.jobstreet.com/id/job/82096209?type=standard&ref=search-standalone,"Pan-European Seal Young Professionals Programmein Science and EngineeringApplications deadline: 15.03.2025Are you a young, aspiring professional interested in the world of intellectual property and looking for your first employment experience?We are looking for young professionals to join the EPO’s Pan-European Seal Young Professionals Programme in September 2025. Young professionals will work at one of the EPO's sites in Munich, The Hague, Vienna, Berlin or Brussels.The programme aims to identify and develop talent among Europe's brightest and highest-achieving graduates.In the area of Science and Engineering there are several departments offering various professional development opportunities and unique experience. Below you will find a summary of what is in for you.In the area of patent grant process you will work with an experienced examiner who will guide you through the patent grant procedure as you gain exposure tocutting edge technologiesand develop a deeper understanding of patent law, international procedures and intellectual property rights in one of theEPO technology communities.Alternatively, working as an engineer in corporate area, depending on the department, your role may involve supporting sustainability initiatives by contributing to environmental projects and assisting with sustainability reporting and certifications. You could also play a role in data analysis, developing advanced analytics models to support strategic workforce planning. Additionally, you might gain hands-on experience in business intelligence and operational forecasting with the Boards of Appeal’s Planning and Controlling team. Involvement in major renovation projects within the Building Operations teams in Munich, Vienna, The Hague, or Berlin would provide exposure to facility management, project documentation, and technical system upgrades. Finally, you could collaborate on data science models and contribute to machine learning projects to enhance patent information systems.For a full list of departments that offer a seat for a young professional, including their description and the young professionals’ projects, please click here. You can express a preference for one of the listed departments in your application.With us you will:Enjoy a year-long paid programme in a field of interest – with the possibility to apply for additional two years on the programmeBenefit from a tailored training and development programme covering IP‑specific matters, language learning and career guidanceLearn on the job, supported by a tutor and experienced colleaguesWork with inspiring people from a variety of culturesGain hands-on experience in a dynamic and innovative environmentFeel empowered to grow in your role and take on responsibilitiesBe among the first to see the latest inventionsApply if you meet the following programme requirements:You hold at least bachelor's degree or equivalentYou have excellent knowledge of one of the EPO’s official languages (English, French and German)We look for talented graduates who possess strong organisational, communication, and prioritisation skills, demonstrate problem-solving abilities, and uphold confidentiality. You should also thrive in a collaborative environment and enjoy working as part of a team.Application process:Application deadline: 15 March 2025Virtual interviews: April and May 2025Results announced: by the end of June 2025Programme start date: 15 September 2025Please note that you may only apply for one area of the programme (e.g. Economics and Finance or Law), and should indicate your preferred department within that area in your application. However, this does not mean that you cannot be considered for other areas or departments. If a suitable candidate is not found for a particular department, applicants who preferred a different department or applied to another area may also be contacted.Key information:Net (basic) monthly salary*: approx. EUR 2 300
Duration of appointment: one year (full-time)Location: Office-wide*average across sites, net amount after deduction of EPO-internal tax and after deduction of staff contributions to the social security and pension schemes"
Pan-European Seal Young Professionals Programme in Information Technology,European Patent Organisation,Jawa Timur,https://id.jobstreet.com/id/job/82096236?type=standard&ref=search-standalone,"Pan-European Seal Young Professionals Programmein Information TechnologyApplications deadline: 15.03.2025Are you a young, aspiring professional interested in the world of intellectual property and looking for your first employment experience?We are looking for young professionals to join the EPO’s Pan-European Seal Young Professionals Programme in September 2025. Young professionals will work at one of the EPO's sites in Munich, The Hague, Vienna, Berlin or Brussels.The programme aims to spot talent early in Europe's brightest and highest-achieving graduates.In the IT area there are several departments offering various professional development opportunities and unique experience. Below you will find a summary of what is in for you.Depending on the department, your role may involve contributing to cloud-native engineering and architecture by supporting IT strategy, applications, and technical standards in a dynamic environment. Alternatively, you could collaborate with Data Science on AI applications, assisting with data preparation and model evaluation for patent processes. You might support user experience design by enhancing the usability of components and frameworks across various EPO projects. Additionally, you could assist in IT cooperation by implementing new search tools and data applications or contribute to the global deployment of advanced patent tools. Other opportunities include optimizing site functionalities and contributing to AI-driven online publications in Web Solutions. You may also provide operational support for Finance Tech tools like SAP S/4HANA and Ivalua or assist in data protection assessments and audits. Furthermore, you could help with sustainability initiatives and ICT reporting for environmental certifications. Finally, you might contribute to the digital implementation of training activities and support digital examination platforms.For a full list of departments that offer a seat for a young professional, including their description and the young professionals’ projects, please clickhere. You can express a preference for one of the listed departments in your application.With us you will:Enjoy a year-long paid programme in a field of interest – with the possibility to apply for additional two years on the programmeBenefit from a tailored training and development programme covering IP‑specific matters, language learning and career guidanceLearn on the job, supported by a tutor and experienced colleaguesWork with inspiring people from a variety of culturesGain hands-on experience in a dynamic and innovative environmentFeel empowered to grow in your role and take on responsibilitiesBe among the first to see the latest inventionsApply if you meet the following programme requirements:You hold at least bachelor's degree or equivalentYou have excellent knowledge of one of the EPO’s official languages (English, French and German)We look for talented graduates who possess strong organisational, communication, and prioritisation skills, demonstrate problem-solving abilities, and uphold confidentiality. You should also thrive in a collaborative environment and enjoy working as part of a team.Application process:Application deadline: 15 March 2025Online interviews: April and May 2025Results announced: by the end of June 2025Programme start date: 15 September 2025Please note that you may only apply for one area of the programme (e.g. Economics and Finance or Law), and should indicate your preferred department within that area in your application. However, this does not mean that you cannot be considered for other areas or departments. If a suitable candidate is not found for a particular department, applicants who preferred a different department or applied to another area may also be contacted.Key information:Net (basic) monthly salary*: approx. EUR 2 300
Duration of appointment: one year (full-time)Location: Office-wide*average across sites, net amount after deduction of EPO-internal tax and after deduction of staff contributions to the social security and pension schemes"
Bancassurance Consultant (Bandung),PT ASURANSI SIMAS JIWA,Bandung,https://id.jobstreet.com/id/job/82092370?type=standard&ref=search-standalone,Job  DescriptionMembangun dan menjaga hubungan baik dengan Bank rekananMembantu nasabah dalam membuat perencanaan keuangan yang tepat dengan menjelaskan produk-produk Simas JiwaBersedia untuk melakukan kunjungan nasabah bersama staff BankMemenuhi target yang diberikan oleh Perusahaan dan menunjukan kinerja yang baikKualifikasiPendidikan minimal D3/ Sarjana semua jurusanUsia 25-35 TahunMemiliki pengalaman sebagai Bancassurance Consultant / Financial Advisor di asuransi jiwa atau Sales Funding Bank minimal 1-2 tahunMemiliki kemampuan komunikasi dan interpersonal yang baikDiutamakan memiliki kemampuan berbicara bahasa inggrisBerpenampilan rapiBerorientasi pada target
Bancassurance Consultant (Denpasar),PT ASURANSI SIMAS JIWA,Denpasar,https://id.jobstreet.com/id/job/82092282?type=standard&ref=search-standalone,Job  DescriptionMembangun dan menjaga hubungan baik dengan Bank rekananMembantu nasabah dalam membuat perencanaan keuangan yang tepat dengan menjelaskan produk-produk Simas JiwaBersedia untuk melakukan kunjungan nasabah bersama staff BankMemenuhi target yang diberikan oleh Perusahaan dan menunjukan kinerja yang baikKualifikasiPendidikan minimal D3/ Sarjana semua jurusanUsia 25-35 TahunMemiliki pengalaman sebagai Bancassurance Consultant / Financial Advisor di asuransi jiwa atau Sales Funding Bank minimal 1-2 tahunMemiliki kemampuan komunikasi dan interpersonal yang baikDiutamakan memiliki kemampuan berbicara bahasa inggrisBerpenampilan rapiBerorientasi pada target
Data Entry & Collection,PT Sinar Jernih Suksesindo,Kebayoran Lama,https://id.jobstreet.com/id/job/82108024?type=standard&ref=search-standalone,"1. Pria atau Wanita
2. Pendidikan min. SMA/SMK atau lebih tinggi
3. Lulusan baru dengan persyaratan keahlian terkait
4. Familiar dengan GForm dan GDrive. Menguasai Excel atau Google Spreadsheet akan lebih diutamakan
5. Memiliki keterampilan komunikasi yang baik
6. Memiliki keterampilan analisis dan akurasi data yang baik
7. Bersedia bekerja di kantor dan lapangan
5. Mampu bekerja dalam tim dan cepat belajar
Deskripsi : 
1. Melakukan pengumpulan dan akurasi data untuk dilaporkan kepada Manajer Langsung
2. Mengumpulkan dan melaporkan setiap masalah teknis atau sistem saat memproses entri data
3. Melakukan tugas-tugas administratif yang melibatkan akun mitra
- Pria/Wanita
- Berpengalaman
- SMA/SMK 
- 20 - 35 Tahun
- Kandidat wajib upload foto
- Provinsi sesuai penempatan kerja (DKI Jakarta)"
Data Migration Specialist,Technosoft Group,Jakarta Barat,https://id.jobstreet.com/id/job/82091949?type=standard&ref=search-standalone,"Responsibilities:Responsible for Data Collection and Data ConsolidationValidate the accuracy and completeness of data in new systemCollaborate with others team to help integrate data into the new system and troubleshoot integration issuesSupport go-live preparationRequirements:Candidate must possess at least Bachelor’s Degree from reputable university majoring Computer Science/Information Technology or System InformationProficiency in Microsoft Office (especially Ms.Excel)Familiar with database and data analyticsProficiency in SQL, MySQL, Python is a plusGood communicationWhat's on Offer?Attractive salary and benefitsCustomer-focused cultureTalented and collaborative co-workers who will support you and help you growPersonal development opportunitiesA great place to grow with career advancement"
Machine Learning Engineer – Intelligent Automotive Retail and Mobility,Technosoft Group,Jakarta Barat,https://id.jobstreet.com/id/job/82091822?type=standard&ref=search-standalone,"Education: Bachelor's Degree in Computer Science/Electrical Engineering, Math, or related field.Experience:Minimum 3 strong years of software engineering practices and experiences in data science, machine learning, generative AI.Description:We are seeking passionate candidates for a machine learning/ deep learning software engineering role who will join as a machine learning research engineer helping the team build intelligent automotive retail and mobility solutions.Responsibilities:As a Machine Learning Engineer, you will contribute to state-of-the-art machine learning infrastructure and relevant software (e.g. supervised learning, reinforcement learning, data management, and evaluation at unparalleled scale).Implement cutting-edge deep learning models accelerating model training performance for intelligent automotive retail and mobility system applications.Apply the latest advances in deep learning and machine learning to personalize car owners experienceManipulate high-volume, high-dimensionality, structured data from automotive retail transactions for to come up with predictions and recommendations that addresses the challenges of the automotive industry.Work in a multidisciplinary team and collaborate with other teams across our R&D and Delivery team.Skills:Strong Machine Learning background with deep understanding of different types of machine learning algorithms (e.g., CNN, RNN, LSTM and Reinforcement Learning). Experience of training deep-learning models in an end-to-end fashion.Project experience working with Azure Machine Learning, Azure Open AI or other modern deep learning frameworks.Proficient in Python is a minimum. Additional knowledge of C++ / C# is a plus.Working knowledge of statistics (e.g., Monte Carlo, hypothesis testing, confidence intervals, maximum likelihood, bootstrap, Bayesian inference)Working knowledge in machine learning algorithms: logistic regression, random forest, gradient boosted trees, neural networks, k-means, and more!Excellent verbal and written communication skills"
IT Business Analyst,Technosoft Group,Jakarta Barat,https://id.jobstreet.com/id/job/82091770?type=standard&ref=search-standalone,"Responsibilities:Review, investigate and analyze business systems, identifying options for improving business processesGather, analyze and document the business requirements into functional requirementsConduct gap analysis between  business needs and the systemGathering business requirements, assists in User Acceptance TestSupports the development of training and implementation material, participates in the implementation, and provides post-implementation supportMonitors project progress by tracking activity; resolving problems; publishing progress reports; recommending actionsManage and perform UAT as well as defect managementConduct training for key and end users of the systemContact person between business and group business analystRequirements:Minimum of 4 year working experience in the IT industry as a Consultant/Business AnalystExperience in implementation or providing pre- and post-sales support for any ERP system (a must)Experience in determining customer business requirements and objectives; demonstrated ability to develop application designs to meet those needsGood presentation and communication skillsWilling to travel locally & overseas­What's on Offer?Medical benefitsCustomer-focused cultureTalented and collaborative co-workers who will support you and help you growPersonal development opportunitiesA great place to grow with career advancement"
MARKETING,PT Trakindo Utama,Jakarta Raya,https://id.jobstreet.com/id/job/82093651?type=standard&ref=search-standalone,"Requirements :Minimum S1 in Finance/ Similar majorGPA minimum 2.75Minimum 3 years experience in Finance/ Marketing/ Sales/ Sales SupportResponsibilities:-Responsible for identifying features, strengths and weakness of each products and services and marketing programs for products and services.Responsible for understanding competitor’s products and services and marketing programs positioning strategy and pricing strategy (incl. response) for individual product and match them to Trakindo’s.Responsible for developing competitive pricing intelligence report (with marketing programs).-Responsible for identifying and updating cost drivers for products and services and determine GP% Gross profit range by products and services.Responsible for calculating and consolidating and updating price range for each products and services by matching GP requirements with price range.Responsible for obtaining list of products and services relevant to existing customers (already mapped by industry/segment).-Responsible for analyzing lost sales report to understand customer’s price sensitivity.Responsible for performing price elasticity analysis to understand demand sensitivity towards change in price.-Responsible for developing Customized Products and services Price Report by industry, segment, customers.Responsible for updating pricing approach mapped with products and services and align it with roles/Value Proposition and with CAT’s pricing and margin guidelines.Responsible for developing Marketing Program Price Range Index Table with Pricing Approach and Price Range.-Responsible for collecting competitor’s marketing program pricing strategy and Approach.Responsible for setting price range for products and services by industry by segment based on understanding roles/VP and CAT pricing and margin requirements.Responsible for constructing frame work to assign weight to each products and services within each bundle based on roles / positioning and Value Proposition.Responsible for determining best suited price range for each bundle using weight framework and price range from products and services.-Responsible for each marketing program, align pricing approach with CAT’s pricing and margin guidelines.Responsible for setting and updating price range for marketing program bundles by industry by segment.-Responsible for obtaining marketing program products and services price list. -Responsible for compiling noncompliance pricing report based on findings and communicate non-compliance to Marketing Support Lead and develop action plans."
